recipient,date,amount
Tesco,2019-09-04,14.00
,2019-09-05,0.0
Night out,2019-09-06,14.00
,2019-09-07,0.0
,2019-09-08,0.0
Tesco,2019-09-09,24.00
,2019-09-10,0.0
Tesco,2019-09-11,14.00
,2019-09-12,0.0
Night out,2019-09-13,14.00
,2019-09-14,0.0
,2019-09-15,0.0
Tesco,2019-09-16,24.00
,2019-09-17,0.0
Tesco,2019-09-18,14.00
,2019-09-19,0.0
Night out,2019-09-20,14.00
,2019-09-21,0.0
,2019-09-22,0.0
Tesco,2019-09-23,24.00
,2019-09-24,0.0
Tesco,2019-09-25,14.00
,2019-09-26,0.0
Night out,2019-09-27,14.00
,2019-09-28,0.0
,2019-09-29,0.0
Tesco,2019-09-30,24.00
House,2019-10-01,400.00
Tesco,2019-10-02,14.00
,2019-10-03,0.0
Night out,2019-10-04,14.00
,2019-10-05,0.0
,2019-10-06,0.0
Tesco,2019-10-07,24.00
,2019-10-08,0.0
Tesco,2019-10-09,14.00
,2019-10-10,0.0
Night out,2019-10-11,14.00
,2019-10-12,0.0
,2019-10-13,0.0
Tesco,2019-10-14,24.00
,2019-10-15,0.0
Tesco,2019-10-16,14.00
,2019-10-17,0.0
Night out,2019-10-18,14.00
,2019-10-19,0.0
,2019-10-20,0.0
Tesco,2019-10-21,24.00
,2019-10-22,0.0
Tesco,2019-10-23,14.00
,2019-10-24,0.0
Night out,2019-10-25,14.00
,2019-10-26,0.0
,2019-10-27,0.0
Tesco,2019-10-28,24.00
,2019-10-29,0.0
Tesco,2019-10-30,14.00
,2019-10-31,0.0
Night out,2019-11-01,14.00
House,2019-11-01,400.00
,2019-11-02,0.0
,2019-11-03,0.0
Tesco,2019-11-04,24.00
,2019-11-05,0.0
Tesco,2019-11-06,14.00
,2019-11-07,0.0
Night out,2019-11-08,14.00
,2019-11-09,0.0
,2019-11-10,0.0
Tesco,2019-11-11,24.00
,2019-11-12,0.0
Tesco,2019-11-13,14.00
,2019-11-14,0.0
Night out,2019-11-15,14.00
,2019-11-16,0.0
,2019-11-17,0.0
Tesco,2019-11-18,24.00
,2019-11-19,0.0
Tesco,2019-11-20,14.00
,2019-11-21,0.0
Night out,2019-11-22,14.00
,2019-11-23,0.0
,2019-11-24,0.0
Tesco,2019-11-25,24.00
,2019-11-26,0.0
Tesco,2019-11-27,14.00
,2019-11-28,0.0
Night out,2019-11-29,14.00
,2019-11-30,0.0
House,2019-12-01,400.00
Tesco,2019-12-02,24.00
,2019-12-03,0.0
Tesco,2019-12-04,14.00
,2019-12-05,0.0
Night out,2019-12-06,14.00
,2019-12-07,0.0
,2019-12-08,0.0
Tesco,2019-12-09,24.00
,2019-12-10,0.0
Tesco,2019-12-11,14.00
,2019-12-12,0.0
Night out,2019-12-13,14.00
,2019-12-14,0.0
,2019-12-15,0.0
Tesco,2019-12-16,24.00
,2019-12-17,0.0
Tesco,2019-12-18,14.00
,2019-12-19,0.0
Night out,2019-12-20,14.00
,2019-12-21,0.0
,2019-12-22,0.0
Tesco,2019-12-23,24.00
,2019-12-24,0.0
Tesco,2019-12-25,14.00
,2019-12-26,0.0
Night out,2019-12-27,14.00
,2019-12-28,0.0
,2019-12-29,0.0
Tesco,2019-12-30,24.00
,2019-12-31,0.0
